userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
,1,1743239033369052851,,,,,,,,,,0.539394,0.62858,0.14111
,1,1743239033388858556,,,,,,,-3.05021,8.63589,2.75812,,,
,1,1743239033389133211,,,,,,,,,,0.463647,0.48686,0.108123
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033402000000,,down,140,686,0.203922,0,,,,,,
,1,1743239033408938915,,,,,,,-2.73897,8.69574,0.428562,,,
,1,1743239033409213571,,,,,,,,,,0.301767,0.210138,0.0714712
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033418000000,,move,140,686,0.282353,0,,,,,,
,1,1743239033429019276,,,,,,,-3.06937,8.8777,1.70946,,,
,1,1743239033429293931,,,,,,,,,,-0.0568105,-0.165544,0.0140499
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033435000000,,move,140,686,0.298039,0,,,,,,
,1,1743239033449099636,,,,,,,-2.87783,8.65025,2.8922,,,
,1,1743239033449374291,,,,,,,,,,-0.274278,-0.461814,-0.00671952
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033452000000,,move,140,686,0.294118,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033469000000,,move,140,686,0.286275,0,,,,,,
,1,1743239033469179995,,,,,,,-2.8491,8.57842,3.30879,,,
,1,1743239033469454651,,,,,,,,,,-0.345139,-0.56505,-0.031765
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033485000000,,move,141,694,0.25098,0,,,,,,
,1,1743239033489260356,,,,,,,-3.06218,9.06205,2.70784,,,
,1,1743239033489535011,,,,,,,,,,-0.40256,-0.618806,-0.0897972
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033502000000,,move,142,711,0.247059,0,,,,,,
,1,1743239033509340716,,,,,,,-2.61447,8.18578,2.65278,,,
,1,1743239033509615371,,,,,,,,,,-0.563218,-0.6634,-0.12706
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033518000000,,move,140,753,0.239216,0,,,,,,
,1,1743239033529421076,,,,,,,-2.44687,7.7213,3.83791,,,
,1,1743239033529695731,,,,,,,,,,-0.809396,-0.801455,-0.149662
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033535000000,,move,137,806,0.227451,0,,,,,,
,1,1743239033549501436,,,,,,,-2.52588,7.6806,4.58011,,,
,1,1743239033549776091,,,,,,,,,,-0.951117,-1.07085,-0.186314
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033552000000,,move,134,862,0.219608,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033568000000,,move,134,911,0.215686,0,,,,,,
,1,1743239033569581795,,,,,,,-2.6432,7.61117,5.51145,,,
,1,1743239033569856452,,,,,,,,,,-0.937067,-1.0684,-0.191201
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033585000000,,move,135,953,0.219608,0,,,,,,
,1,1743239033589662156,,,,,,,-2.34632,7.6806,6.19141,,,
,1,1743239033589936811,,,,,,,,,,-0.803288,-0.963335,-0.166155
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033602000000,,move,137,990,0.215686,0,,,,,,
,1,1743239033609742516,,,,,,,-2.53067,7.60638,6.4021,,,
,1,1743239033610017171,,,,,,,,,,-0.611476,-0.775188,-0.165544
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033619000000,,move,140,1025,0.215686,0,,,,,,
,1,1743239033629822876,,,,,,,-2.55461,7.61117,5.80115,,,
