userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461562000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461621000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461686000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295461754000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295462146000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295462241000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295462501000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295462597000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295462930000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295462997000000,,up,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295464785000000,,down,200.984,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465037000000,,move,250.982,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465076000000,,move,311.463,860.955,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465164000000,,move,479.151,880.94,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465181000000,,move,491.963,880.94,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465197000000,,move,507.835,880.94,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465231000000,,move,544.98,876.943,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465247000000,,move,558.778,874.536,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465264000000,,move,572.39,870.124,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465281000000,,move,586.478,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465297000000,,move,596.496,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465314000000,,move,613.565,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465331000000,,move,624.271,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465347000000,,move,629.521,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465364000000,,move,635.552,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465370000000,,move,638.959,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465396000000,,move,644.975,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465406000000,,move,652.439,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465431000000,,move,656.519,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465438000000,,move,659.954,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465497000000,,move,670.549,860.362,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465531000000,,move,682.49,860.955,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465547000000,,move,695.956,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465564000000,,move,709.34,852.747,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465581000000,,move,718.586,851.944,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465597000000,,move,736.846,843.949,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465614000000,,move,757.31,843.949,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465631000000,,move,776.08,843.949,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465647000000,,move,802.157,843.949,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465664000000,,move,842.978,853.448,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465681000000,,move,859.27,855.941,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465697000000,,move,870.323,858.681,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465714000000,,move,878.335,860.955,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465742000000,,move,887.981,860.955,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465788000000,,move,894.969,860.955,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465810000000,,move,894.969,864.952,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465881000000,,move,894.969,872.946,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465945000000,,move,894.969,876.943,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295465983000000,,up,894.969,876.943,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467035000000,,down,242.974,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467164000000,,move,254.511,926.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467181000000,,move,264.216,937.415,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467197000000,,move,278.089,938.934,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467212000000,,move,303.453,946.454,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467231000000,,move,358.678,947.944,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467244000000,,move,392.476,947.944,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467264000000,,move,437.545,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467281000000,,move,471.669,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467297000000,,move,498.705,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467314000000,,move,524.449,955.938,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295467331000000,,move,557.038,955.938,1,0.000000596046,,,
