userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033802000000,,move,180,1158,0.266667,0,-2.11887,7.40287,6.12916,0.100182,-0.166155,-0.0250455
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033819000000,,move,184,1153,0.270588,0,-2.22421,7.2664,5.78439,0.178373,-0.157603,-0.0354302
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033835000000,,move,188,1139,0.25098,0,-2.38462,7.58722,5.59285,0.194866,-0.152716,-0.0305433
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033852000000,,move,194,1122,0.239216,0,-2.45406,7.5561,5.37738,0.222966,-0.231518,0.00244346
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033886000000,,move,237,1060,0.227451,0,-2.03268,7.60159,5.54258,0.251066,-0.255953,0.0335976
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033902000000,,move,268,1020,0.223529,0,-2.09493,7.63032,5.94241,0.265726,-0.102625,0.0378736
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033919000000,,move,302,975,0.215686,0,-2.23858,7.66145,5.80115,0.328645,0.0207694,0.0354302
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033936000000,,move,338,924,0.207843,0,-2.08774,7.82186,4.96557,0.364687,0.111788,0.0537561
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033952000000,,move,374,874,0.211765,0,-2.23858,7.93678,4.48434,0.317039,0.187536,0.0623083
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239033986000000,,move,406,814,0.211765,0,-1.92494,7.74764,4.26407,0.239459,0.0788016,0.0745256
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034002000000,,move,413,803,0.207843,0,-2.00634,7.82186,4.83389,0.11973,-0.000610865,0.0329867
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034019000000,,move,421,793,0.207843,0,-2.17394,7.79791,5.12599,0.0720821,-0.00122173,-0.0177151
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034036000000,,move,431,783,0.203922,0,-2.11647,7.85538,5.08768,0.0891863,0.00427606,-0.0256563
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034052000000,,move,447,768,0.2,0,-2.22182,7.9703,4.77404,0.0763582,0.0189368,-0.0299324
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034086000000,,move,489,738,0.203922,0,-2.18591,7.99185,4.98473,0.0122173,0.0348193,-0.00916298
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034102000000,,move,509,727,0.203922,0,-2.23379,7.93438,5.47554,-0.0122173,0.00610865,-0.00549779
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034119000000,,move,526,717,0.207843,0,-2.22421,7.76679,5.88734,0.0232129,0.00855211,-0.0018326
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034136000000,,move,538,708,0.203922,0,-2.17872,7.68778,5.68144,0.12706,0.0629191,-0.00916298
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034186000000,,move,571,681,0.203922,0,-2.28646,7.86974,5.09965,0.230907,0.189368,0.0195477
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034203000000,,move,576,673,0.207843,0,-1.95846,7.89608,4.77883,0.232129,0.196699,0.0384845
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034219000000,,move,579,667,0.207843,0,-2.23858,8.01339,4.87699,0.196088,0.231518,0.0128282
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034236000000,,move,582,663,0.211765,0,-2.09732,7.96551,4.707,0.156382,0.271835,0.00305433
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034269000000,,move,586,656,0.203922,0,-2.05662,8.08282,4.47955,0.130114,0.375682,-0.0177151
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034286000000,,move,592,651,0.2,0,-2.54264,8.02297,4.33829,0.0897972,0.350026,-0.0415388
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034303000000,,move,600,646,0.2,0,-2.55222,7.87453,4.86023,0.0323759,0.223577,-0.0189368
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034319000000,,move,606,642,0.192157,0,-2.47082,7.92002,5.39892,0.0445932,0.136834,0.0171042
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034336000000,,move,609,638,0.172549,0,-2.27449,7.80989,5.6551,0.144775,0.209527,0.0433714
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034594000000,,down,140,641,0.0745098,0,-3.304,8.57364,2.9329,0.220522,0.292604,-0.00671952
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034620000000,,move,140,641,0.27451,0,-3.4285,9.00459,1.35272,0.114843,0.0647517,-0.00122173
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034636000000,,move,140,641,0.290196,0,-3.40934,9.0836,2.03507,-0.131336,-0.250455,0.00733038
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034670000000,,move,142,649,0.247059,0,-2.85149,8.78433,2.52588,-0.291383,-0.441656,-0.000610865
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034686000000,,move,144,659,0.223529,0,-2.92811,9.25598,2.57377,-0.397062,-0.542448,-0.0659734
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034703000000,,move,144,691,0.219608,0,-2.75573,8.59279,1.52511,-0.553444,-0.675617,-0.142942
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034720000000,,move,143,743,0.227451,0,-2.57137,7.93678,2.67193,-0.899194,-1.01648,-0.191812
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034736000000,,move,143,810,0.211765,0,-2.46842,7.42921,4.01986,-1.18813,-1.26327,-0.246179
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034770000000,,move,144,936,0.207843,0,-2.46842,7.85538,5.30555,-1.24189,-1.44347,-0.319483
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034786000000,,move,146,989,0.203922,0,-2.74376,7.49864,5.87537,-1.08551,-1.32252,-0.318261
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034803000000,,move,149,1029,0.203922,0,-2.40138,7.24964,6.4428,-0.884533,-1.09528,-0.230907
